Timestamp,dp,fn,z,torque,dp_raw,current
0 days 00:00:08.060833,20.719546330397105,157.04915043838307,10.806728104824083,5.876800060272218,-8.738964259202504,1.7234703
0 days 00:00:08.063871,20.618183349267017,157.10291800530447,10.814552994474333,5.7852888107299805,-8.654433227881423,1.6111406
0 days 00:00:08.066884,20.553332222798613,157.1311427488109,10.823079294474333,5.6987953186035165,-8.605324088236543,1.4864024
0 days 00:00:08.069883,20.566485676878344,157.15098138062197,10.831565994474333,5.75795841217041,-9.052087702638257,1.3622438
0 days 00:00:08.073865,20.487372785215143,157.06353685666295,10.839801942027636,5.738737106323242,-8.960843843813176,1.2366395
0 days 00:00:08.076876,20.45541654633763,156.96620959172097,10.845135542027636,5.814326763153076,-9.051813449389908,1.1532348
0 days 00:00:08.079905,20.318251485745442,156.9683050267829,10.850501042027636,5.702238082885742,-9.299702005465498,1.0693315
0 days 00:00:08.082887,20.248356593482836,157.09863676785025,10.854663592761932,5.913187026977539,-9.412809788353105,1.1222166999999998
0 days 00:00:08.085874,20.276107335346666,157.16632790089741,10.858182392761933,5.678486347198486,-9.254354166728529,1.2539434
0 days 00:00:08.089856,20.353880282347074,157.18859385591975,10.862873192761931,5.754698753356934,-9.343516186769136,1.4295496
0 days 00:00:08.093859,20.496284649875626,157.2206301758936,10.874847253452117,5.736420154571532,-9.123461749050154,1.3281871
0 days 00:00:08.097852,20.52354470123325,157.19189966800963,10.889688453452118,5.841055870056152,-9.00219229827847,1.1161588
0 days 00:00:08.101850,20.437222605715217,157.21396620153092,10.899924916681956,5.8557701110839835,-8.920404499997673,1.0030599999999998
0 days 00:00:08.105847,20.423212572091707,157.18994521812678,10.893039616681955,5.793135166168213,-8.829620985037199,1.2572691999999999
0 days 00:00:08.109858,20.434147236526155,157.1860851865654,10.886130216681956,5.664639472961426,-9.165938212692595,1.5123688
0 days 00:00:08.112858,20.390459900106578,157.2702697683425,10.889843452252283,5.63265323638916,-9.140655822549672,1.525544
0 days 00:00:08.116841,20.39596878824834,157.2708932405728,10.902020952252283,5.728024482727051,-9.39618094624873,1.398088
0 days 00:00:08.119855,20.415202970800117,157.26849576517478,10.911235852252283,5.7531328201293945,-9.154397325220394,1.30164
0 days 00:00:08.123837,20.49669032492906,157.24656760801167,10.919761691817891,5.738296031951903,-8.96405186257094,1.3214563000000001
0 days 00:00:08.126848,20.444983595318263,157.17938865170854,10.925095091817893,5.786223888397218,-8.971895295672947,1.3813752
0 days 00:00:08.129872,20.533437596544527,157.1364397885997,10.930451491817893,5.75914192199707,-8.756129587903711,1.4415528
0 days 00:00:08.132842,20.389084369772608,157.1350803925427,10.934829315553282,5.7603840827941895,-9.266750972634618,1.4949456
0 days 00:00:08.135847,20.319596832385077,157.21634783026477,10.938711415553282,5.790231227874756,-9.176055557141293,1.5454295999999998
0 days 00:00:08.139828,20.21316132043971,157.30058337409372,10.943854515553282,5.7108397483825675,-9.324584346064196,1.6123104000000001
0 days 00:00:08.143827,20.275636404569507,157.35003030327573,10.955772427589041,5.824038982391357,-9.379449349825023,1.5825274999999999
0 days 00:00:08.147824,20.363812121474812,157.30229097399942,10.970481827589042,5.8756513595581055,-9.426861325180461,1.51258
0 days 00:00:08.151822,20.442499384866053,157.3266998311745,10.980804537396997,5.899189472198486,-9.149435963644684,1.4727002
0 days 00:00:08.155819,20.534373353984023,157.24555338222112,10.974165237396996,5.84905481338501,-9.113672376606797,1.5490429
0 days 00:00:08.159819,20.538384853194277,157.20081314333487,10.967520937396996,5.802726745605469,-9.21046234529205,1.6254429
0 days 00:00:08.162829,20.535240581191893,157.2096850939019,10.97126306634825,5.759475231170653,-9.150339863144048,1.5865456
0 days 00:00:08.165827,20.504266434702338,157.25465456981254,10.98061266634825,5.75941801071167,-9.15302802940899,1.4858128
0 days 00:00:08.169812,20.51356534416649,157.29417843863052,10.993040266348249,5.757267951965332,-9.18292704169777,1.3519168
0 days 00:00:08.173810,20.503719752249758,157.35431422544858,11.00144966568372,5.832582473754883,-9.095927006783441,1.40192
0 days 00:00:08.176821,20.630133654253857,157.39870588931922,11.006490665683721,5.840183734893799,-8.778536008221728,1.4982719999999998
0 days 00:00:08.179848,20.592938220455835,157.41610613081966,11.01155836568372,5.763813018798827,-9.016897594973855,1.5951359999999999
0 days 00:00:08.182833,20.618262709250917,157.45897204993673,11.01599167974374,5.816561222076416,-9.012546311745176,1.5639957
0 days 00:00:08.185818,20.632175908834075,157.43849032631095,11.020070379743741,5.8534302711486825,-8.940769876688385,1.4532521999999999
0 days 00:00:08.189801,20.563779618536433,157.45462208967683,11.02551277974374,5.67667293548584,-8.935929701531926,1.3054829
0 days 00:00:08.193840,20.597713304833164,157.49319706241164,11.037659889305315,5.77196216583252,-8.839015363379726,1.314392
0 days 00:00:08.197796,20.531248917109174,157.55888203453247,11.052298189305315,5.731374740600586,-9.160652480595903,1.3887648
0 days 00:00:08.201794,20.61553427570141,157.5523434070708,11.062533396287693,5.969648838043213,-8.897776347467534,1.4672619999999998
0 days 00:00:08.205792,20.664480884675854,157.51952525308326,11.054373396287692,5.856389045715332,-9.145693294401294,1.559216
0 days 00:00:08.209803,20.716032679306124,157.4584209942056,11.046186796287692,5.946388244628906,-9.090502278579613,1.651469
0 days 00:00:08.213787,20.648718791340197,157.46092405178229,11.052836393735557,5.928281784057617,-8.969837422038708,1.584242
0 days 00:00:08.217785,20.683881946376662,157.43214488707596,11.065879993735557,5.74341344833374,-8.778349880405564,1.44831
0 days 00:00:08.221783,20.76750860674982,157.45426523547485,11.077802190315845,5.688080787658691,-8.875839324158378,1.360141
0 days 00:00:08.225781,20.886426498302434,157.4974802322641,11.085119290315845,5.905735492706299,-8.72809376536944,1.468087
0 days 00:00:08.228822,21.002604583617604,157.48911612660675,11.090684890315844,5.85125732421875,-8.762273880127516,1.5501939999999998
0 days 00:00:08.231793,20.960789910863642,157.35330233817618,11.095812295969509,5.90645694732666,-8.431293447901005,1.5909989
0 days 00:00:08.234792,21.065350245444478,157.2525563088887,11.10012809596951,5.946845531463622,-8.427763463051615,1.5229215999999999
0 days 00:00:08.237790,21.063013623697078,157.233244674201,11.104442595969509,5.965392112731934,-8.48512327815839,1.454867
0 days 00:00:08.241772,21.071290075370822,157.17374147900165,11.112011412455084,5.909055709838867,-8.634649408271756,1.3928852
