Timestamp,Timestamp,dp,z,p
0.0,0.0,0.08946146812075219,0.0,0.1815306672705342
0.003983,0.0010727659267422995,0.0895930760038876,0.00019445518925518927,0.18165426349302205
0.003989,0.002145531853484599,0.08972468388702304,0.00038891037851037855,0.1817778597155099
0.004987000000000001,0.0032182977802268985,0.08985629177015847,0.0005833655677655677,0.18190145593799778
0.0069830000000000005,0.004291063706969198,0.0899878996532939,0.0007778207570207571,0.18202505216048567
0.007972,0.005363829633711498,0.09011950753642932,0.0009722759462759464,0.1821486483829735
0.007979,0.006436595560453797,0.09025111541956472,0.0011667311355311354,0.18227224460546135
0.008976000000000001,0.007509361487196096,0.09038272330270018,0.001361186324786325,0.18239584082794927
0.010962000000000005,0.008582127413938396,0.09051433118583559,0.0015556415140415142,0.18251943705043713
0.011961000000000005,0.009654893340680695,0.09064593906897102,0.0017500967032967035,0.18264303327292497
0.011968000000000005,0.010727659267422996,0.09077754695210644,0.0019445518925518927,0.1827666294954129
0.012965,0.011800425194165293,0.09090915483524187,0.002139007081807082,0.1828902257179007
0.013850806635154663,0.012873191120907594,0.0910407627183773,0.002333462271062271,0.18301382194038854
0.013909968372038492,0.01383511693083525,0.09115850963854401,0.002520040336134454,0.18328585443187262
0.013916928576377764,0.014713189600250164,0.09124943169705511,0.0026803372549019607,0.18338415998939592
0.014951000000000002,0.015529123961877916,0.0913416574921964,0.002830267873303168,0.18348161717829423
0.015951000000000003,0.016345058323505673,0.09143388328733769,0.0029801984917043746,0.18357907436719254
0.015959,0.017160992685133426,0.09152610908247899,0.003130129110105581,0.18367653155609087
0.015971000000000003,0.017976927046761175,0.09161833487762028,0.0032800597285067875,0.18377398874498918
0.018940000000000002,0.01879286140838893,0.09171056067276157,0.003429990346907994,0.18387144593388757
0.01994000000000001,0.019608795770016684,0.09180278646790287,0.003579920965309201,0.18396890312278583
0.019948000000000004,0.020424730131644437,0.09189501226304415,0.003729851583710407,0.1840663603116842
0.01995700000000001,0.02124066449327219,0.09198723805818547,0.003879782202111614,0.18416381750058253
0.02293,0.02205659885489994,0.09207946385332676,0.004029712820512821,0.1842612746894808
0.02392900000000001,0.022872533216527696,0.09217168964846804,0.004179643438914027,0.18435873187837917
0.02393600000000001,0.023688467578155445,0.09226391544360935,0.004329574057315234,0.18445618906727748
0.023938,0.0245044019397832,0.09235614123875063,0.004479504675716441,0.18455364625617585
0.024416396822172143,0.02532033630141095,0.09244836703389192,0.004629435294117647,0.18465110344507418
0.026919000000000002,0.026155466995839812,0.09254707361219051,0.004782277097626874,0.18476498900900598
0.027819936744076984,0.02699059769026867,0.09264578019048912,0.004935118901136102,0.18487887457293786
0.027823416846246615,0.027795858405600657,0.09274143286701535,0.005086052955542251,0.18503361855999423
0.027919000000000003,0.0285724019930189,0.09282690325784215,0.0052256028238742355,0.18512217041397738
0.027925000000000002,0.029348945580437144,0.09291237364866893,0.00536515269220622,0.1852107222679605
0.027952000000000005,0.030125489167855388,0.09299784403949574,0.005504702560538204,0.1852992741219437
0.030912000000000005,0.03090203275527363,0.09308331443032253,0.005644252428870188,0.18538782597592687
0.031908000000000006,0.031678576342691875,0.09316878482114933,0.005783802297202173,0.18547637782991003
0.03191400000000001,0.03245511993011012,0.09325425521197613,0.005923352165534158,0.18556492968389326
0.03194700000000001,0.033231663517528355,0.09333972560280292,0.006062902033866141,0.18565348153787642
0.03391,0.0340082071049466,0.09342519599362971,0.006202451902198126,0.18574203339185957
0.035898,0.03478475069236485,0.09351066638445653,0.006342001770530109,0.18583058524584276
0.03593100000000001,0.035561294279783086,0.09359613677528333,0.006481551638862095,0.18591913709982597
0.03690200000000001,0.036337837867201336,0.09368160716611013,0.006621101507194078,0.18600768895380912
0.03789900000000001,0.03711438145461957,0.09376707755693692,0.006760651375526064,0.18609624080779227
0.03826024325298753,0.03789092504203782,0.09385254794776372,0.0069002012438580465,0.18618479266177546
0.039888000000000014,0.038624066565774655,0.09394245299700804,0.007031815341141635,0.1862845845516712
0.03992,0.039357208089511486,0.09403235804625237,0.007163429438425223,0.18638437644156694
0.04089100000000001,0.04009034961324831,0.09412226309549669,0.007295043535708812,0.18648416833146272
0.04090000000000001,0.04082349113698514,0.09421216814474102,0.0074266576329924,0.18658396022135845
0.04172990511611547,0.041556632660721966,0.09430207319398536,0.007558271730275987,0.1866837521112542
0.04173686532045474,0.042302364963458496,0.0943946022300046,0.007691022215997175,0.1867731120056116
0.04290500000000001,0.04309507355761646,0.09452321267257084,0.007835178515837685,0.18709489139441837
0.043883000000000005,0.04388778215177441,0.09465182311513708,0.007979334815678195,0.18741667078322513
0.043885000000000014,0.04468049074593237,0.09478043355770328,0.008123491115518706,0.18773845017203186
0.044890000000000006,0.04547319934009033,0.09490904400026955,0.008267647415359215,0.1880602295608386
0.04588200000000001,0.04626590793424829,0.09503765444283578,0.008411803715199727,0.18838200894964532
0.04787100000000001,0.047058616528406254,0.09516626488540199,0.008555960015040236,0.18870378833845206
0.04886900000000001,0.04785132512256421,0.09529487532796821,0.008700116314880747,0.18902556772725887
0.048871000000000005,0.048644033716722164,0.09542348577053444,0.008844272614721259,0.18934734711606557
0.04986800000000001,0.049436742310880126,0.09555209621310068,0.008988428914561768,0.18966912650487233
0.05086400000000001,0.05022945090503808,0.09568070665566691,0.00913258521440228,0.18999090589367906
0.051868,0.05102215949919605,0.09580931709823315,0.009276741514242789,0.19031268528248582
0.0522154529532313,0.051814868093354,0.09593792754079937,0.009420897814083298,0.19063446467129255
