Timestamp,Timestamp,dp,z,p
0.0,0.0,0.08946146812075213,0.0,-0.12510805107926845
1.0000000000000003e-09,2.5914128095409983e-06,0.08946177374692532,4.767363386665945e-07,-0.12506000076988966
2e-09,5.182825619081997e-06,0.08946207937309851,9.53472677333189e-07,-0.1250119504605109
3e-09,7.774238428622995e-06,0.08946238499927169,1.4302090159997833e-06,-0.12496390015113212
4.000000000000001e-09,1.0365651238163993e-05,0.08946269062544489,1.906945354666378e-06,-0.12491584984175336
5.000000000000001e-09,1.295706404770499e-05,0.08946299625161808,2.3836816933329726e-06,-0.12486779953237458
6.000000000000001e-09,1.554847685724599e-05,0.08946330187779127,2.8604180319995667e-06,-0.12481974922299581
7.000000000000001e-09,1.8139889666786984e-05,0.08946360750396447,3.337154370666161e-06,-0.12477169891361702
8.000000000000002e-09,2.0731302476327987e-05,0.08946391313013764,3.813890709332756e-06,-0.12472364860423828
9.000000000000003e-09,2.3322715285868982e-05,0.08946421875631083,4.29062704799935e-06,-0.12467559829485948
1.0000000000000002e-08,2.591412809540998e-05,0.08946452438248403,4.767363386665945e-06,-0.12462754798548072
1.1000000000000004e-08,2.850554090495098e-05,0.08946483000865722,5.24409972533254e-06,-0.12457949767610195
1.2000000000000002e-08,3.109695371449198e-05,0.0894651356348304,5.720836063999133e-06,-0.12453144736672318
1.3000000000000002e-08,3.3688366524032973e-05,0.08946544126100359,6.1975724026657275e-06,-0.1244833970573444
1.4000000000000005e-08,3.627977933357397e-05,0.08946574688717679,6.674308741332322e-06,-0.12443534674796564
1.5000000000000005e-08,3.887119214311497e-05,0.08946605251334998,7.151045079998917e-06,-0.12438729643858687
1.6000000000000004e-08,4.146260495265597e-05,0.08946635813952315,7.627781418665512e-06,-0.1243392461292081
1.7000000000000003e-08,4.4054017762196975e-05,0.08946666376569634,8.104517757332106e-06,-0.12429119581982934
1.8000000000000006e-08,4.6645430571737964e-05,0.08946696939186954,8.5812540959987e-06,-0.12424314551045057
1.9e-08,4.923684338127896e-05,0.08946727501804273,9.057990434665295e-06,-0.12419509520107179
2.0000000000000004e-08,5.182825619081996e-05,0.08946758064421591,9.53472677333189e-06,-0.12414704489169304
2.1000000000000003e-08,5.441966900036096e-05,0.08946788627038911,1.0011463111998485e-05,-0.12409899458231426
2.2000000000000005e-08,5.701108180990196e-05,0.0894681918965623,1.048819945066508e-05,-0.12405094427293546
2.3000000000000004e-08,5.960249461944295e-05,0.08946849752273549,1.0964935789331675e-05,-0.1240028939635567
2.4000000000000003e-08,6.219390742898396e-05,0.08946880314890866,1.1441672127998267e-05,-0.12395484365417793
2.5000000000000005e-08,6.478532023852496e-05,0.08946910877508187,1.191840846666486e-05,-0.12390679334479915
2.6000000000000005e-08,6.737673304806595e-05,0.08946941440125505,1.2395144805331455e-05,-0.1238587430354204
2.7000000000000004e-08,6.996814585760694e-05,0.08946972002742824,1.287188114399805e-05,-0.12381069272604162
2.800000000000001e-08,7.255955866714794e-05,0.08947002565360142,1.3348617482664645e-05,-0.12376264241666286
2.9e-08,7.515097147668894e-05,0.08947033127977462,1.382535382133124e-05,-0.12371459210728408
3.000000000000001e-08,7.774238428622994e-05,0.08947063690594781,1.4302090159997835e-05,-0.12366654179790532
3.1e-08,8.033379709577094e-05,0.08947094253212101,1.477882649866443e-05,-0.12361849148852654
3.2000000000000015e-08,8.292520990531195e-05,0.0894712481582942,1.5255562837331025e-05,-0.12357044117914777
3.300000000000001e-08,8.551662271485293e-05,0.08947155378446738,1.573229917599762e-05,-0.12352239086976897
3.4000000000000007e-08,8.810803552439395e-05,0.08947185941064056,1.620903551466421e-05,-0.12347434056039024
3.5000000000000016e-08,9.069944833393494e-05,0.08947216503681377,1.6685771853330806e-05,-0.12342629025101144
3.600000000000001e-08,9.329086114347593e-05,0.08947247066298696,1.71625081919974e-05,-0.12337823994163268
3.7e-08,9.588227395301693e-05,0.08947277628916013,1.7639244530663996e-05,-0.12333018963225391
3.8e-08,9.847368676255792e-05,0.08947308191533332,1.811598086933059e-05,-0.12328213932287514
3.900000000000001e-08,0.00010106509957209893,0.08947338754150652,1.8592717207997186e-05,-0.12323408901349638
4.0000000000000014e-08,0.00010365651238163992,0.08947369316767971,1.906945354666378e-05,-0.1231860387041176
