index,timestamp,maxon_current,maxon_torque,maxon_velmes,akd_torque,akd_velmes,sinkage,pressure_setting
1,13:42:40,-59.0000,0.0000,0.0000,7.0000,0.1526,3935.0000,1500.0000
9,13:42:40.010000,296.0000,0.0000,0.0000,4.0000,-0.1049,3941.0000,1500.0000
17,13:42:40.021000,35.0000,0.0000,0.0000,-22.0000,-0.0667,3933.0000,1500.0000
25,13:42:40.031000,386.0000,0.0000,0.0000,-24.0000,-0.2002,3944.0000,1500.0000
33,13:42:40.041000,414.0000,0.0000,3.9333,-27.0000,-0.0191,3944.0000,1500.0000
41,13:42:40.051000,398.0000,0.0000,3.9333,-10.0000,-0.2098,3962.0000,1500.0000
49,13:42:40.061000,238.0000,0.0000,0.0000,-5.0000,0.0381,3938.0000,1500.0000
57,13:42:40.071000,15.0000,0.0000,3.9333,-22.0000,-0.1621,3928.0000,1500.0000
65,13:42:40.081000,535.0000,0.0000,3.9333,-15.0000,-0.0763,3960.0000,1500.0000
73,13:42:40.091000,62.0000,0.0000,0.0000,-17.0000,-0.1335,3949.0000,1500.0000
81,13:42:40.101000,660.0000,0.0000,0.0000,-53.0000,-0.3623,3936.0000,1500.0000
89,13:42:40.111000,238.0000,0.0000,3.9333,-10.0000,-0.3051,3955.0000,1500.0000
97,13:42:40.121000,296.0000,0.0000,3.9333,-27.0000,-0.5912,3928.0000,1500.0000
105,13:42:40.131000,207.0000,0.0000,3.9333,-34.0000,-1.0775,3938.0000,1500.0000
113,13:42:40.141000,316.0000,0.0000,0.0000,-20.0000,-1.0775,3898.0000,1500.0000
121,13:42:40.151000,300.0000,0.0000,0.0000,-41.0000,-1.3636,3960.0000,1500.0000
129,13:42:40.161000,304.0000,0.0000,0.0000,-39.0000,-1.5352,3942.0000,1500.0000
137,13:42:40.171000,316.0000,0.0000,3.9333,-60.0000,-1.6782,3938.0000,1500.0000
145,13:42:40.181000,359.0000,0.0000,3.9333,-53.0000,-1.7545,3933.0000,1500.0000
153,13:42:40.191000,175.0000,0.0000,0.0000,-24.0000,-2.0120,3929.0000,1500.0000
161,13:42:40.201000,410.0000,0.0000,3.9333,-53.0000,-2.1836,3949.0000,1500.0000
169,13:42:40.211000,324.0000,0.0000,3.9333,-36.0000,-2.3362,3934.0000,1500.0000
177,13:42:40.221000,398.0000,0.0000,3.9333,-53.0000,-2.5841,3950.0000,1500.0000
185,13:42:40.231000,394.0000,0.0000,3.9333,-34.0000,-2.9751,3927.0000,1500.0000
193,13:42:40.241000,367.0000,0.0000,7.8666,-17.0000,-3.4137,3933.0000,1500.0000
201,13:42:40.251000,382.0000,0.0000,3.9333,-53.0000,-3.8142,3953.0000,1500.0000
209,13:42:40.261000,347.0000,0.0000,3.9333,-46.0000,-3.6807,4003.0000,1500.0000
217,13:42:40.271000,316.0000,0.0000,3.9333,-53.0000,-3.5663,3923.0000,1500.0000
225,13:42:40.281000,472.0000,0.0000,3.9333,-48.0000,-3.5186,3932.0000,1500.0000
233,13:42:40.291000,476.0000,0.0000,3.9333,-60.0000,-3.7284,3932.0000,1500.0000
241,13:42:40.301000,308.0000,0.0000,3.9333,-53.0000,-4.1193,3963.0000,1500.0000
249,13:42:40.311000,394.0000,0.0000,3.9333,-31.0000,-4.6533,3940.0000,1500.0000
257,13:42:40.321000,519.0000,0.0000,3.9333,-31.0000,-5.1682,3927.0000,1500.0000
265,13:42:40.331000,441.0000,0.0000,7.8666,-29.0000,-4.7868,3930.0000,1500.0000
273,13:42:40.341000,492.0000,0.0000,3.9333,-39.0000,-4.3005,3941.0000,1500.0000
281,13:42:40.351000,441.0000,0.0000,7.8666,-53.0000,-4.2433,3934.0000,1500.0000
289,13:42:40.361000,539.0000,0.0000,7.8666,-29.0000,-4.3863,3937.0000,1500.0000
297,13:42:40.371000,503.0000,0.0000,7.8666,-43.0000,-4.9871,3920.0000,1500.0000
305,13:42:40.381000,390.0000,0.0000,7.8666,-34.0000,-5.3113,3949.0000,1500.0000
313,13:42:40.391000,472.0000,0.0000,7.8666,-36.0000,-5.4734,3938.0000,1500.0000
321,13:42:40.401000,562.0000,0.0000,11.7999,-36.0000,-4.9584,3952.0000,1500.0000
329,13:42:40.411000,585.0000,0.0000,11.7999,-41.0000,-4.7487,3939.0000,1500.0000
337,13:42:40.421000,234.0000,0.0000,7.8666,-46.0000,-5.0824,3948.0000,1500.0000
345,13:42:40.431000,800.0000,0.0000,7.8666,-39.0000,-5.0919,3935.0000,1500.0000
353,13:42:40.441000,585.0000,0.0000,7.8666,-41.0000,-5.1968,3946.0000,1500.0000
361,13:42:40.451000,855.0000,0.0000,7.8666,-41.0000,-5.0633,3958.0000,1500.0000
369,13:42:40.461000,855.0000,0.0000,7.8666,-53.0000,-4.9203,3939.0000,1500.0000
377,13:42:40.471000,429.0000,0.0000,11.7999,-39.0000,-4.8536,3927.0000,1500.0000
385,13:42:40.481000,753.0000,0.0000,11.7999,-51.0000,-5.3589,3949.0000,1500.0000
393,13:42:40.491000,734.0000,0.0000,7.8666,-31.0000,-6.0836,3935.0000,1500.0000
401,13:42:40.501000,523.0000,0.0000,11.7999,-48.0000,-5.7594,3973.0000,1500.0000
409,13:42:40.511000,628.0000,0.0000,11.7999,-48.0000,-5.3399,3961.0000,1500.0000
417,13:42:40.521000,773.0000,0.0000,15.7332,-43.0000,-5.1873,3951.0000,1500.0000
425,13:42:40.531000,671.0000,0.0000,15.7332,-53.0000,-5.2064,3951.0000,1500.0000
433,13:42:40.541000,1304.0000,0.0000,11.7999,-36.0000,-5.7499,3947.0000,1500.0000
441,13:42:40.551000,484.0000,0.0000,11.7999,-31.0000,-5.4257,3978.0000,1500.0000
449,13:42:40.561000,921.0000,0.0000,11.7999,-12.0000,-5.2540,3984.0000,1500.0000
457,13:42:40.571000,546.0000,0.0000,15.7332,-39.0000,-5.3685,3951.0000,1500.0000
465,13:42:40.581000,523.0000,0.0000,11.7999,-51.0000,-5.8929,3985.0000,1500.0000
473,13:42:40.591000,820.0000,0.0000,15.7332,-36.0000,-6.4364,3953.0000,1500.0000
481,13:42:40.601000,417.0000,0.0000,11.7999,-41.0000,-6.0169,3980.0000,1500.0000
489,13:42:40.611000,898.0000,0.0000,15.7332,-48.0000,-5.9120,3981.0000,1500.0000
497,13:42:40.621000,1156.0000,0.0000,15.7332,-39.0000,-5.6545,3963.0000,1500.0000
505,13:42:40.631000,847.0000,0.0000,15.7332,-29.0000,-6.0741,3944.0000,1500.0000
513,13:42:40.641000,957.0000,0.0000,15.7332,-48.0000,-6.1122,3961.0000,1500.0000
521,13:42:40.651000,1128.0000,0.0000,11.7999,-36.0000,-5.5496,3983.0000,1500.0000
529,13:42:40.661000,1089.0000,0.0000,15.7332,-27.0000,-5.4448,4011.0000,1500.0000
537,13:42:40.671000,1210.0000,0.0000,15.7332,-3.0000,-5.9978,3984.0000,1500.0000
545,13:42:40.681000,1105.0000,0.0000,15.7332,-27.0000,-6.5699,3979.0000,1500.0000
553,13:42:40.691000,1230.0000,0.0000,15.7332,-24.0000,-6.4937,3988.0000,1500.0000
561,13:42:40.701000,1214.0000,0.0000,15.7332,-34.0000,-5.9120,3990.0000,1500.0000
569,13:42:40.711000,1125.0000,0.0000,15.7332,-29.0000,-5.8738,4018.0000,1500.0000
577,13:42:40.721000,1476.0000,0.0000,19.6665,-17.0000,-6.0073,3997.0000,1500.0000
585,13:42:40.731000,1972.0000,0.0000,15.7332,-29.0000,-6.2267,4021.0000,1500.0000
593,13:42:40.741000,1433.0000,0.0000,15.7332,-20.0000,-5.7976,4011.0000,1500.0000
601,13:42:40.751000,1535.0000,0.0000,19.6665,-46.0000,-5.3208,4039.0000,1500.0000
609,13:42:40.761000,1601.0000,0.0000,15.7332,-34.0000,-5.4257,4030.0000,1500.0000
617,13:42:40.771000,1292.0000,0.0000,15.7332,-27.0000,-6.3029,4017.0000,1500.0000
625,13:42:40.781000,1500.0000,0.0000,19.6665,-5.0000,-6.5509,4028.0000,1500.0000
633,13:42:40.791000,1394.0000,0.0000,15.7332,-31.0000,-6.0741,4051.0000,1500.0000
641,13:42:40.801000,2199.0000,0.0000,19.6665,-43.0000,-5.5973,4054.0000,1500.0000
649,13:42:40.811000,1867.0000,0.0000,19.6665,-17.0000,-5.6259,4083.0000,1500.0000
657,13:42:40.821000,1851.0000,0.0000,15.7332,-29.0000,-6.0932,4054.0000,1500.0000
665,13:42:40.831000,1792.0000,0.0000,15.7332,-5.0000,-5.5878,4078.0000,1500.0000
673,13:42:40.841000,2152.0000,0.0000,19.6665,-29.0000,-5.5210,4060.0000,1500.0000
681,13:42:40.851000,1937.0000,0.0000,19.6665,-20.0000,-5.4066,4068.0000,1500.0000
689,13:42:40.861000,1503.0000,0.0000,19.6665,-27.0000,-5.7308,4115.0000,1500.0000
697,13:42:40.871000,2000.0000,0.0000,15.7332,-10.0000,-6.3029,4069.0000,1500.0000
705,13:42:40.881000,2339.0000,0.0000,19.6665,-24.0000,-6.5223,4094.0000,1500.0000
713,13:42:40.891000,2054.0000,0.0000,19.6665,-22.0000,-5.7785,4099.0000,1500.0000
721,13:42:40.901000,2503.0000,0.0000,19.6665,-15.0000,-5.8071,4109.0000,1500.0000
