index,timestamp,maxon_current,maxon_torque,maxon_velmes,akd_torque,akd_velmes,sinkage,pressure_setting
441,13:22:30.551000,160.0000,0.0000,11.7999,-72.0000,-8.0861,2149.0000,1500.0000
449,13:22:30.561000,257.0000,0.0000,11.7999,-51.0000,-8.7631,2173.0000,1500.0000
457,13:22:30.571000,183.0000,0.0000,11.7999,-46.0000,-9.3543,2121.0000,1500.0000
465,13:22:30.581000,269.0000,0.0000,11.7999,-51.0000,-8.9538,2171.0000,1500.0000
473,13:22:30.591000,-32.0000,0.0000,15.7332,-67.0000,-9.2208,2157.0000,1500.0000
481,13:22:30.601000,218.0000,0.0000,15.7332,-39.0000,-9.4497,2160.0000,1500.0000
489,13:22:30.611000,207.0000,0.0000,15.7332,-48.0000,-9.3543,2185.0000,1500.0000
497,13:22:30.621000,324.0000,0.0000,15.7332,-55.0000,-9.9264,2170.0000,1500.0000
505,13:22:30.631000,214.0000,0.0000,11.7999,-65.0000,-10.6034,2202.0000,1500.0000
513,13:22:30.641000,-71.0000,0.0000,15.7332,-70.0000,-10.2220,2188.0000,1500.0000
521,13:22:30.651000,398.0000,0.0000,15.7332,-62.0000,-10.5272,2198.0000,1500.0000
529,13:22:30.661000,312.0000,0.0000,15.7332,-82.0000,-10.6988,2196.0000,1500.0000
537,13:22:30.671000,363.0000,0.0000,15.7332,-70.0000,-10.8228,2183.0000,1500.0000
545,13:22:30.681000,289.0000,0.0000,15.7332,-77.0000,-12.0719,2192.0000,1500.0000
553,13:22:30.691000,457.0000,0.0000,15.7332,-53.0000,-11.1565,2188.0000,1500.0000
561,13:22:30.701000,289.0000,0.0000,15.7332,-55.0000,-11.8335,2201.0000,1500.0000
569,13:22:30.711000,207.0000,0.0000,15.7332,-70.0000,-11.7763,2191.0000,1500.0000
577,13:22:30.721000,769.0000,0.0000,15.7332,-65.0000,-12.1100,2197.0000,1500.0000
585,13:22:30.731000,484.0000,0.0000,15.7332,-65.0000,-12.5391,2229.0000,1500.0000
593,13:22:30.741000,445.0000,0.0000,15.7332,-62.0000,-12.4533,2222.0000,1500.0000
601,13:22:30.751000,417.0000,0.0000,19.6665,-43.0000,-12.7871,2211.0000,1500.0000
609,13:22:30.761000,933.0000,0.0000,19.6665,-82.0000,-12.3103,2210.0000,1500.0000
617,13:22:30.771000,-67.0000,0.0000,19.6665,-67.0000,-13.5118,2210.0000,1500.0000
625,13:22:30.781000,671.0000,0.0000,19.6665,-65.0000,-13.0827,2224.0000,1500.0000
633,13:22:30.791000,347.0000,0.0000,15.7332,-53.0000,-13.5880,2219.0000,1500.0000
641,13:22:30.801000,667.0000,0.0000,19.6665,-58.0000,-12.8633,2224.0000,1500.0000
649,13:22:30.811000,496.0000,0.0000,19.6665,-53.0000,-14.1983,2256.0000,1500.0000
657,13:22:30.821000,781.0000,0.0000,19.6665,-41.0000,-13.4641,2267.0000,1500.0000
665,13:22:30.831000,500.0000,0.0000,19.6665,-72.0000,-13.9313,2242.0000,1500.0000
673,13:22:30.841000,835.0000,0.0000,19.6665,-60.0000,-13.5404,2255.0000,1500.0000
681,13:22:30.851000,390.0000,0.0000,15.7332,-60.0000,-14.2841,2245.0000,1500.0000
689,13:22:30.861000,1035.0000,0.0000,19.6665,-51.0000,-14.0648,2240.0000,1500.0000
697,13:22:30.871000,1320.0000,0.0000,19.6665,-60.0000,-14.3032,2270.0000,1500.0000
705,13:22:30.881000,1593.0000,0.0000,19.6665,-58.0000,-13.8741,2288.0000,1500.0000
713,13:22:30.891000,933.0000,0.0000,19.6665,-46.0000,-14.9802,2264.0000,1500.0000
721,13:22:30.901000,1246.0000,0.0000,19.6665,-65.0000,-14.1888,2246.0000,1500.0000
729,13:22:30.911000,933.0000,0.0000,19.6665,-48.0000,-14.5702,2282.0000,1500.0000
737,13:22:30.921000,664.0000,0.0000,19.6665,-70.0000,-14.2460,2279.0000,1500.0000
745,13:22:30.931000,1152.0000,0.0000,19.6665,-70.0000,-15.2091,2274.0000,1500.0000
753,13:22:30.941000,605.0000,0.0000,19.6665,-79.0000,-14.4272,2266.0000,1500.0000
761,13:22:30.951000,593.0000,0.0000,19.6665,-51.0000,-14.8372,2263.0000,1500.0000
769,13:22:30.961000,648.0000,0.0000,19.6665,-67.0000,-14.3795,2273.0000,1500.0000
777,13:22:30.971000,1191.0000,0.0000,19.6665,-65.0000,-15.1995,2274.0000,1500.0000
785,13:22:30.981000,1718.0000,0.0000,15.7332,-58.0000,-14.8277,2289.0000,1500.0000
793,13:22:30.991000,1058.0000,0.0000,19.6665,-62.0000,-14.6942,2280.0000,1500.0000
801,13:22:31.001000,917.0000,0.0000,19.6665,-60.0000,-14.8753,2271.0000,1500.0000
809,13:22:31.011000,1078.0000,0.0000,19.6665,-58.0000,-15.3330,2307.0000,1500.0000
817,13:22:31.021000,667.0000,0.0000,19.6665,-51.0000,-15.2663,2288.0000,1500.0000
825,13:22:31.031000,1246.0000,0.0000,19.6665,-67.0000,-14.7323,2316.0000,1500.0000
833,13:22:31.041000,1085.0000,0.0000,15.7332,-77.0000,-15.5619,2296.0000,1500.0000
841,13:22:31.051000,449.0000,0.0000,19.6665,-55.0000,-15.0565,2295.0000,1500.0000
849,13:22:31.061000,742.0000,0.0000,19.6665,-72.0000,-15.1805,2288.0000,1500.0000
857,13:22:31.071000,1277.0000,0.0000,19.6665,-53.0000,-15.3616,2335.0000,1500.0000
865,13:22:31.081000,1554.0000,0.0000,19.6665,-53.0000,-15.9624,2347.0000,1500.0000
873,13:22:31.091000,1828.0000,0.0000,19.6665,-65.0000,-15.6763,2341.0000,1500.0000
881,13:22:31.101000,1664.0000,0.0000,19.6665,-65.0000,-15.7145,2315.0000,1500.0000
889,13:22:31.111000,1281.0000,0.0000,19.6665,-46.0000,-16.0482,2320.0000,1500.0000
897,13:22:31.121000,1390.0000,0.0000,15.7332,-67.0000,-15.8384,2332.0000,1500.0000
905,13:22:31.131000,1039.0000,0.0000,19.6665,-46.0000,-16.0101,2344.0000,1500.0000
913,13:22:31.141000,1445.0000,0.0000,19.6665,-58.0000,-15.3712,2330.0000,1500.0000
921,13:22:31.151000,1332.0000,0.0000,19.6665,-51.0000,-16.2294,2332.0000,1500.0000
929,13:22:31.161000,1488.0000,0.0000,19.6665,-41.0000,-15.6477,2365.0000,1500.0000
937,13:22:31.171000,1085.0000,0.0000,15.7332,-51.0000,-15.3235,2367.0000,1500.0000
945,13:22:31.181000,1292.0000,0.0000,19.6665,-48.0000,-15.9052,2357.0000,1500.0000
953,13:22:31.191000,386.0000,0.0000,19.6665,-70.0000,-15.7621,2362.0000,1500.0000
961,13:22:31.201000,1285.0000,0.0000,19.6665,-43.0000,-15.8480,2345.0000,1500.0000
969,13:22:31.211000,1398.0000,0.0000,19.6665,-70.0000,-15.0279,2382.0000,1500.0000
977,13:22:31.221000,1964.0000,0.0000,19.6665,-53.0000,-16.2961,2385.0000,1500.0000
985,13:22:31.231000,1406.0000,0.0000,19.6665,-39.0000,-15.7145,2383.0000,1500.0000
993,13:22:31.241000,1175.0000,0.0000,19.6665,-51.0000,-16.0005,2364.0000,1500.0000
1001,13:22:31.251000,640.0000,0.0000,19.6665,-41.0000,-15.8670,2369.0000,1500.0000
1009,13:22:31.261000,1570.0000,0.0000,19.6665,-84.0000,-15.8766,2399.0000,1500.0000
1017,13:22:31.271000,1613.0000,0.0000,19.6665,-41.0000,-16.0577,2390.0000,1500.0000
1025,13:22:31.281000,1656.0000,0.0000,19.6665,-82.0000,-15.1519,2411.0000,1500.0000
1033,13:22:31.291000,1054.0000,0.0000,23.5998,-51.0000,-16.0005,2401.0000,1500.0000
