index,timestamp,maxon_current,maxon_torque,maxon_velmes,akd_torque,akd_velmes,sinkage,pressure_setting
1,13:15:56,-247.0000,0.0000,0.0000,0.0000,0.0286,2617.0000,1500.0000
9,13:15:56.010000,285.0000,0.0000,0.0000,4.0000,0.0191,2618.0000,1500.0000
17,13:15:56.021000,-168.0000,0.0000,0.0000,-10.0000,0.0095,2621.0000,1500.0000
25,13:15:56.031000,425.0000,0.0000,0.0000,0.0000,-0.1430,2620.0000,1500.0000
33,13:15:56.041000,-223.0000,0.0000,0.0000,-3.0000,0.0191,2601.0000,1500.0000
41,13:15:56.051000,429.0000,0.0000,0.0000,-3.0000,0.0191,2601.0000,1500.0000
49,13:15:56.061000,238.0000,0.0000,3.9333,-17.0000,0.0191,2611.0000,1500.0000
57,13:15:56.071000,39.0000,0.0000,3.9333,-34.0000,0.0095,2604.0000,1500.0000
65,13:15:56.081000,230.0000,0.0000,3.9333,-27.0000,-0.0858,2605.0000,1500.0000
73,13:15:56.091000,148.0000,0.0000,0.0000,-34.0000,-0.1526,2601.0000,1500.0000
81,13:15:56.101000,42.0000,0.0000,3.9333,-46.0000,-0.1430,2598.0000,1500.0000
89,13:15:56.111000,312.0000,0.0000,0.0000,-34.0000,-0.4577,2616.0000,1500.0000
97,13:15:56.121000,148.0000,0.0000,3.9333,-31.0000,-0.8677,2616.0000,1500.0000
105,13:15:56.131000,140.0000,0.0000,3.9333,-55.0000,-0.9440,2585.0000,1500.0000
113,13:15:56.141000,289.0000,0.0000,0.0000,-36.0000,-1.1633,2598.0000,1500.0000
121,13:15:56.151000,101.0000,0.0000,0.0000,-17.0000,-1.2968,2597.0000,1500.0000
129,13:15:56.161000,140.0000,0.0000,0.0000,-27.0000,-1.6401,2612.0000,1500.0000
137,13:15:56.171000,273.0000,0.0000,0.0000,-15.0000,-1.6973,2602.0000,1500.0000
145,13:15:56.181000,175.0000,0.0000,3.9333,-31.0000,-1.8308,2599.0000,1500.0000
153,13:15:56.191000,152.0000,0.0000,3.9333,-48.0000,-2.0215,2626.0000,1500.0000
161,13:15:56.201000,167.0000,0.0000,3.9333,-34.0000,-2.1359,2598.0000,1500.0000
169,13:15:56.211000,238.0000,0.0000,3.9333,-53.0000,-2.1359,2631.0000,1500.0000
177,13:15:56.221000,417.0000,0.0000,3.9333,-15.0000,-2.6604,2629.0000,1500.0000
185,13:15:56.231000,324.0000,0.0000,3.9333,-24.0000,-3.1276,2613.0000,1500.0000
193,13:15:56.241000,269.0000,0.0000,3.9333,-46.0000,-3.2802,2615.0000,1500.0000
201,13:15:56.251000,164.0000,0.0000,3.9333,-48.0000,-3.3851,2616.0000,1500.0000
209,13:15:56.261000,175.0000,0.0000,3.9333,-62.0000,-3.3756,2625.0000,1500.0000
217,13:15:56.271000,265.0000,0.0000,3.9333,-43.0000,-3.3279,2600.0000,1500.0000
225,13:15:56.281000,355.0000,0.0000,3.9333,-51.0000,-3.4137,2602.0000,1500.0000
233,13:15:56.291000,300.0000,0.0000,7.8666,-70.0000,-3.4995,2599.0000,1500.0000
241,13:15:56.301000,273.0000,0.0000,3.9333,-31.0000,-4.1384,2607.0000,1500.0000
249,13:15:56.311000,234.0000,0.0000,7.8666,-53.0000,-4.6247,2622.0000,1500.0000
257,13:15:56.321000,109.0000,0.0000,3.9333,-29.0000,-5.0061,2615.0000,1500.0000
265,13:15:56.331000,50.0000,0.0000,7.8666,-36.0000,-5.0919,2601.0000,1500.0000
273,13:15:56.341000,378.0000,0.0000,3.9333,-46.0000,-4.8917,2597.0000,1500.0000
281,13:15:56.351000,218.0000,0.0000,7.8666,-43.0000,-4.7677,2601.0000,1500.0000
289,13:15:56.361000,312.0000,0.0000,7.8666,-46.0000,-5.3589,2608.0000,1500.0000
297,13:15:56.371000,515.0000,0.0000,7.8666,-46.0000,-5.7594,2596.0000,1500.0000
305,13:15:56.381000,519.0000,0.0000,7.8666,-70.0000,-5.7594,2576.0000,1500.0000
313,13:15:56.391000,308.0000,0.0000,7.8666,-46.0000,-5.5783,2608.0000,1500.0000
