index,timestamp,maxon_current,maxon_torque,maxon_velmes,akd_torque,akd_velmes,sinkage,pressure_setting
1,13:48:04,93.0000,0.0000,0.0000,-8.0000,-0.0954,3742.0000,1500.0000
9,13:48:04.010000,332.0000,0.0000,0.0000,14.0000,-0.0191,3770.0000,1500.0000
17,13:48:04.021000,390.0000,0.0000,0.0000,16.0000,0.1335,3741.0000,1500.0000
25,13:48:04.031000,183.0000,0.0000,0.0000,-3.0000,0.0000,3760.0000,1500.0000
33,13:48:04.041000,-270.0000,0.0000,0.0000,-10.0000,0.0095,3750.0000,1500.0000
41,13:48:04.051000,460.0000,0.0000,0.0000,0.0000,-0.1621,3776.0000,1500.0000
49,13:48:04.061000,304.0000,0.0000,3.9333,-22.0000,-0.0858,3754.0000,1500.0000
57,13:48:04.071000,97.0000,0.0000,0.0000,-24.0000,-0.0191,3742.0000,1500.0000
65,13:48:04.081000,109.0000,0.0000,3.9333,-22.0000,-0.0763,3756.0000,1500.0000
73,13:48:04.091000,35.0000,0.0000,0.0000,-29.0000,-0.0286,3746.0000,1500.0000
81,13:48:04.101000,50.0000,0.0000,0.0000,-10.0000,-0.0954,3780.0000,1500.0000
89,13:48:04.111000,39.0000,0.0000,0.0000,-27.0000,-0.3623,3748.0000,1500.0000
97,13:48:04.121000,35.0000,0.0000,3.9333,-24.0000,-0.4482,3769.0000,1500.0000
105,13:48:04.131000,316.0000,0.0000,3.9333,-51.0000,-1.0298,3759.0000,1500.0000
113,13:48:04.141000,167.0000,0.0000,3.9333,-36.0000,-1.0394,3760.0000,1500.0000
121,13:48:04.151000,82.0000,0.0000,0.0000,-27.0000,-1.2968,3741.0000,1500.0000
129,13:48:04.161000,179.0000,0.0000,3.9333,-31.0000,-1.4208,3784.0000,1500.0000
137,13:48:04.171000,210.0000,0.0000,3.9333,-46.0000,-1.5734,3752.0000,1500.0000
145,13:48:04.181000,207.0000,0.0000,3.9333,-58.0000,-1.9452,3755.0000,1500.0000
153,13:48:04.191000,164.0000,0.0000,0.0000,-53.0000,-1.9929,3767.0000,1500.0000
161,13:48:04.201000,101.0000,0.0000,3.9333,-34.0000,-2.1073,3758.0000,1500.0000
169,13:48:04.211000,187.0000,0.0000,3.9333,-53.0000,-2.2599,3768.0000,1500.0000
177,13:48:04.221000,210.0000,0.0000,3.9333,-55.0000,-2.5460,3764.0000,1500.0000
185,13:48:04.231000,93.0000,0.0000,3.9333,-31.0000,-2.8606,3767.0000,1500.0000
193,13:48:04.241000,66.0000,0.0000,3.9333,-34.0000,-3.4518,3767.0000,1500.0000
201,13:48:04.251000,265.0000,0.0000,3.9333,-48.0000,-4.0144,3747.0000,1500.0000
209,13:48:04.261000,164.0000,0.0000,3.9333,-55.0000,-3.7760,3744.0000,1500.0000
217,13:48:04.271000,238.0000,0.0000,3.9333,-31.0000,-3.6521,3767.0000,1500.0000
225,13:48:04.281000,-8.0000,0.0000,3.9333,-48.0000,-3.2802,3743.0000,1500.0000
233,13:48:04.291000,144.0000,0.0000,3.9333,-41.0000,-3.5281,3766.0000,1500.0000
241,13:48:04.301000,375.0000,0.0000,7.8666,-34.0000,-3.8905,3769.0000,1500.0000
249,13:48:04.311000,382.0000,0.0000,7.8666,-60.0000,-4.0335,3743.0000,1500.0000
257,13:48:04.321000,414.0000,0.0000,3.9333,-67.0000,-4.4531,3747.0000,1500.0000
265,13:48:04.331000,265.0000,0.0000,7.8666,-55.0000,-4.5389,3750.0000,1500.0000
273,13:48:04.341000,582.0000,0.0000,7.8666,-58.0000,-4.5580,3724.0000,1500.0000
281,13:48:04.351000,105.0000,0.0000,7.8666,-46.0000,-4.3196,3737.0000,1500.0000
289,13:48:04.361000,203.0000,0.0000,7.8666,-58.0000,-4.6152,3747.0000,1500.0000
297,13:48:04.371000,242.0000,0.0000,7.8666,-39.0000,-4.8059,3740.0000,1500.0000
305,13:48:04.381000,308.0000,0.0000,7.8666,-36.0000,-5.3399,3754.0000,1500.0000
313,13:48:04.391000,-67.0000,0.0000,7.8666,-22.0000,-5.3494,3753.0000,1500.0000
321,13:48:04.401000,242.0000,0.0000,11.7999,-53.0000,-5.2922,3729.0000,1500.0000
329,13:48:04.411000,339.0000,0.0000,7.8666,-70.0000,-5.0061,3756.0000,1500.0000
337,13:48:04.421000,402.0000,0.0000,7.8666,-46.0000,-4.6915,3738.0000,1500.0000
345,13:48:04.431000,410.0000,0.0000,11.7999,-55.0000,-5.1873,3750.0000,1500.0000
353,13:48:04.441000,585.0000,0.0000,7.8666,-53.0000,-5.1587,3781.0000,1500.0000
361,13:48:04.451000,539.0000,0.0000,7.8666,-53.0000,-4.9298,3737.0000,1500.0000
369,13:48:04.461000,582.0000,0.0000,7.8666,-53.0000,-4.7105,3801.0000,1500.0000
377,13:48:04.471000,316.0000,0.0000,7.8666,-58.0000,-4.9680,3739.0000,1500.0000
385,13:48:04.481000,164.0000,0.0000,11.7999,-65.0000,-5.4924,3780.0000,1500.0000
393,13:48:04.491000,207.0000,0.0000,11.7999,-34.0000,-5.8929,3780.0000,1500.0000
401,13:48:04.501000,308.0000,0.0000,11.7999,-55.0000,-5.9406,3749.0000,1500.0000
409,13:48:04.511000,359.0000,0.0000,11.7999,-41.0000,-5.3303,3751.0000,1500.0000
417,13:48:04.521000,203.0000,0.0000,11.7999,-62.0000,-5.2540,3777.0000,1500.0000
425,13:48:04.531000,238.0000,0.0000,15.7332,-53.0000,-5.1396,3760.0000,1500.0000
433,13:48:04.541000,312.0000,0.0000,11.7999,-46.0000,-5.6831,3781.0000,1500.0000
441,13:48:04.551000,164.0000,0.0000,15.7332,-60.0000,-5.4448,3756.0000,1500.0000
449,13:48:04.561000,191.0000,0.0000,11.7999,-58.0000,-5.5210,3761.0000,1500.0000
457,13:48:04.571000,386.0000,0.0000,11.7999,-43.0000,-5.4638,3761.0000,1500.0000
465,13:48:04.581000,-208.0000,0.0000,11.7999,-41.0000,-5.7690,3773.0000,1500.0000
473,13:48:04.591000,718.0000,0.0000,15.7332,-48.0000,-6.2362,3769.0000,1500.0000
481,13:48:04.601000,406.0000,0.0000,15.7332,-41.0000,-6.1504,3760.0000,1500.0000
489,13:48:04.611000,394.0000,0.0000,15.7332,-53.0000,-5.5496,3766.0000,1500.0000
497,13:48:04.621000,285.0000,0.0000,11.7999,-55.0000,-5.6736,3786.0000,1500.0000
505,13:48:04.631000,296.0000,0.0000,15.7332,-43.0000,-5.6736,3771.0000,1500.0000
513,13:48:04.641000,300.0000,0.0000,15.7332,-41.0000,-6.0836,3775.0000,1500.0000
521,13:48:04.651000,406.0000,0.0000,15.7332,-51.0000,-5.8166,3739.0000,1500.0000
529,13:48:04.661000,-145.0000,0.0000,15.7332,-46.0000,-5.5973,3778.0000,1500.0000
537,13:48:04.671000,105.0000,0.0000,15.7332,-48.0000,-5.6831,3806.0000,1500.0000
545,13:48:04.681000,210.0000,0.0000,15.7332,-48.0000,-6.0073,3789.0000,1500.0000
553,13:48:04.691000,281.0000,0.0000,15.7332,-24.0000,-6.1408,3810.0000,1500.0000
561,13:48:04.701000,468.0000,0.0000,11.7999,-34.0000,-6.1027,3792.0000,1500.0000
569,13:48:04.711000,890.0000,0.0000,15.7332,-46.0000,-5.7880,3850.0000,1500.0000
577,13:48:04.721000,519.0000,0.0000,15.7332,-39.0000,-5.9406,3812.0000,1500.0000
585,13:48:04.731000,824.0000,0.0000,15.7332,-36.0000,-6.3888,3806.0000,1500.0000
593,13:48:04.741000,734.0000,0.0000,19.6665,-41.0000,-6.0836,3833.0000,1500.0000
601,13:48:04.751000,800.0000,0.0000,15.7332,-51.0000,-5.5115,3842.0000,1500.0000
609,13:48:04.761000,785.0000,0.0000,15.7332,-36.0000,-5.4924,3814.0000,1500.0000
617,13:48:04.771000,859.0000,0.0000,15.7332,-36.0000,-5.8071,3834.0000,1500.0000
625,13:48:04.781000,765.0000,0.0000,19.6665,-27.0000,-6.4460,3855.0000,1500.0000
633,13:48:04.791000,1027.0000,0.0000,19.6665,-39.0000,-6.3029,3836.0000,1500.0000
641,13:48:04.801000,1113.0000,0.0000,15.7332,-12.0000,-5.9787,3866.0000,1500.0000
649,13:48:04.811000,1031.0000,0.0000,19.6665,-36.0000,-5.9501,3857.0000,1500.0000
657,13:48:04.821000,679.0000,0.0000,19.6665,-41.0000,-6.2267,3837.0000,1500.0000
665,13:48:04.831000,941.0000,0.0000,19.6665,-46.0000,-6.2076,3880.0000,1500.0000
673,13:48:04.841000,1042.0000,0.0000,15.7332,-36.0000,-5.6736,3876.0000,1500.0000
681,13:48:04.851000,1273.0000,0.0000,19.6665,-41.0000,-5.5496,3905.0000,1500.0000
689,13:48:04.861000,1457.0000,0.0000,15.7332,-36.0000,-5.8262,3888.0000,1500.0000
697,13:48:04.871000,1230.0000,0.0000,19.6665,-31.0000,-6.6462,3881.0000,1500.0000
705,13:48:04.881000,1156.0000,0.0000,19.6665,-39.0000,-6.4650,3908.0000,1500.0000
713,13:48:04.891000,1574.0000,0.0000,19.6665,-36.0000,-6.0550,3889.0000,1500.0000
721,13:48:04.901000,1964.0000,0.0000,19.6665,-48.0000,-5.9883,3908.0000,1500.0000
729,13:48:04.911000,1230.0000,0.0000,19.6665,-41.0000,-6.0455,3910.0000,1500.0000
737,13:48:04.921000,1570.0000,0.0000,19.6665,-12.0000,-6.1313,3939.0000,1500.0000
745,13:48:04.931000,1246.0000,0.0000,19.6665,-27.0000,-5.8357,3934.0000,1500.0000
753,13:48:04.941000,1566.0000,0.0000,19.6665,-34.0000,-5.4829,3941.0000,1500.0000
761,13:48:04.951000,1492.0000,0.0000,19.6665,-12.0000,-5.7785,3956.0000,1500.0000
769,13:48:04.961000,1882.0000,0.0000,19.6665,-43.0000,-6.4937,3946.0000,1500.0000
777,13:48:04.971000,1789.0000,0.0000,19.6665,-27.0000,-6.5699,3937.0000,1500.0000
785,13:48:04.981000,2097.0000,0.0000,19.6665,-15.0000,-6.2267,3972.0000,1500.0000
793,13:48:04.991000,1421.0000,0.0000,19.6665,-34.0000,-5.6927,3992.0000,1500.0000
801,13:48:05.001000,1722.0000,0.0000,19.6665,-3.0000,-6.0932,3978.0000,1500.0000
809,13:48:05.011000,1476.0000,0.0000,19.6665,-20.0000,-6.1313,4002.0000,1500.0000
817,13:48:05.021000,1179.0000,0.0000,19.6665,-20.0000,-5.7499,3995.0000,1500.0000
825,13:48:05.031000,1964.0000,0.0000,19.6665,-27.0000,-5.4924,4025.0000,1500.0000
833,13:48:05.041000,890.0000,0.0000,19.6665,-24.0000,-5.5878,4009.0000,1500.0000
841,13:48:05.051000,1742.0000,0.0000,19.6665,-24.0000,-6.1981,4010.0000,1500.0000
849,13:48:05.061000,1679.0000,0.0000,19.6665,7.0000,-6.5795,4023.0000,1500.0000
857,13:48:05.071000,1511.0000,0.0000,19.6665,-17.0000,-6.1027,4045.0000,1500.0000
865,13:48:05.081000,2152.0000,0.0000,19.6665,-48.0000,-5.7690,4029.0000,1500.0000
873,13:48:05.091000,1933.0000,0.0000,15.7332,-10.0000,-5.5783,4042.0000,1500.0000
881,13:48:05.101000,2542.0000,0.0000,23.5998,-12.0000,-6.0741,4081.0000,1500.0000
889,13:48:05.111000,1859.0000,0.0000,19.6665,-5.0000,-5.6927,4054.0000,1500.0000
897,13:48:05.121000,2242.0000,0.0000,15.7332,-34.0000,-5.6736,4068.0000,1500.0000
905,13:48:05.131000,2113.0000,0.0000,15.7332,-51.0000,-5.6164,4085.0000,1500.0000
913,13:48:05.141000,2234.0000,0.0000,15.7332,-34.0000,-5.8643,4109.0000,1500.0000
921,13:48:05.151000,2187.0000,0.0000,23.5998,-22.0000,-6.1694,4088.0000,1500.0000
929,13:48:05.161000,1773.0000,0.0000,19.6665,-17.0000,-6.3316,4102.0000,1500.0000
937,13:48:05.171000,1378.0000,0.0000,19.6665,-22.0000,-5.7022,4104.0000,1500.0000
945,13:48:05.181000,2835.0000,0.0000,19.6665,-31.0000,-5.6355,4143.0000,1500.0000
953,13:48:05.191000,1750.0000,0.0000,15.7332,-24.0000,-5.8262,4128.0000,1500.0000
961,13:48:05.201000,1941.0000,0.0000,19.6665,-29.0000,-6.0550,4157.0000,1500.0000
969,13:48:05.211000,1683.0000,0.0000,19.6665,-12.0000,-5.7117,4165.0000,1500.0000
977,13:48:05.221000,2144.0000,0.0000,19.6665,-10.0000,-5.4924,4130.0000,1500.0000
985,13:48:05.231000,2210.0000,0.0000,19.6665,-15.0000,-5.4066,4175.0000,1500.0000
993,13:48:05.241000,2660.0000,0.0000,19.6665,-39.0000,-5.9311,4190.0000,1500.0000
1001,13:48:05.251000,2972.0000,0.0000,19.6665,0.0000,-6.3697,4167.0000,1500.0000
1009,13:48:05.261000,2171.0000,0.0000,19.6665,-36.0000,-6.1313,4202.0000,1500.0000
1017,13:48:05.271000,1722.0000,0.0000,19.6665,-27.0000,-5.6736,4206.0000,1500.0000
1025,13:48:05.281000,2281.0000,0.0000,19.6665,-27.0000,-5.8452,4218.0000,1500.0000
1033,13:48:05.291000,2414.0000,0.0000,19.6665,-27.0000,-6.2267,4199.0000,1500.0000
1041,13:48:05.301000,2277.0000,0.0000,19.6665,-31.0000,-6.2267,4232.0000,1500.0000
1049,13:48:05.311000,3000.0000,0.0000,19.6665,-20.0000,-5.5020,4201.0000,1500.0000
1057,13:48:05.321000,2277.0000,0.0000,19.6665,-15.0000,-5.3208,4222.0000,1500.0000
1065,13:48:05.331000,1976.0000,0.0000,19.6665,-15.0000,-6.0550,4223.0000,1500.0000
1073,13:48:05.341000,2390.0000,0.0000,19.6665,-27.0000,-6.5985,4228.0000,1500.0000
1081,13:48:05.351000,1761.0000,0.0000,23.5998,-8.0000,-6.4746,4238.0000,1500.0000
1089,13:48:05.361000,2089.0000,0.0000,19.6665,-34.0000,-6.3125,4237.0000,1500.0000
