index,timestamp,maxon_current,maxon_torque,maxon_velmes,akd_torque,akd_velmes,sinkage,pressure_setting
200001,17:15:03,-340,0,0,11,-0.03814,7153,925
200009,17:15:03.010000,74,0,0,-17,-0.15257,7112,925
200017,17:15:03.021000,195,0,0,-17,0.07628,7227,925
200025,17:15:03.031000,-55,0,0,2,-0.21932,6848,925
200033,17:15:03.041000,121,0,0,0,-0.05721,7195,925
200041,17:15:03.051000,414,0,0,-22,-0.10489,7158,925
200049,17:15:03.061000,101,0,1.96665,-29,0.05721,7111,925
200057,17:15:03.071000,296,0,1.96665,-5,-0.03814,7220,925
200065,17:15:03.081000,101,0,1.96665,-17,-0.2956,6857,925
200073,17:15:03.091000,93,0,1.96665,0,-0.37188,7211,925
200081,17:15:03.101000,140,0,1.96665,-29,-0.35281,7178,925
200089,17:15:03.111000,136,0,1.96665,-27,-0.53399,7122,925
200097,17:15:03.121000,191,0,0,-27,-0.61981,7187,925
200105,17:15:03.131000,15,0,1.96665,-36,-0.85819,6845,925
200113,17:15:03.141000,250,0,1.96665,-15,-1.25868,7196,925
200121,17:15:03.151000,304,0,1.96665,-17,-1.38264,7168,925
200129,17:15:03.161000,328,0,1.96665,-34,-1.5066,7125,925
200137,17:15:03.171000,226,0,3.93329,-29,-1.64964,7174,925
200145,17:15:03.181000,355,0,1.96665,-36,-1.82127,6827,925
200153,17:15:03.191000,183,0,3.93329,-31,-2.19316,7199,925
200161,17:15:03.201000,398,0,3.93329,-46,-2.08827,7168,925
200169,17:15:03.211000,144,0,3.93329,-20,-2.14548,7114,925
200177,17:15:03.221000,257,0,5.89994,-41,-2.43154,7171,925
200185,17:15:03.231000,343,0,3.93329,-24,-2.6604,6842,925
200193,17:15:03.241000,121,0,5.89994,-24,-3.17531,7196,925
200201,17:15:03.251000,390,0,5.89994,-60,-3.60441,7173,925
200209,17:15:03.261000,582,0,5.89994,-31,-3.59487,7115,925
200217,17:15:03.271000,382,0,3.93329,-67,-3.52812,7181,925
200225,17:15:03.281000,187,0,5.89994,-29,-3.52812,6828,925
200233,17:15:03.291000,50,0,3.93329,-36,-3.85233,7188,925
200241,17:15:03.301000,121,0,5.89994,-41,-3.92861,7162,925
200249,17:15:03.311000,253,0,5.89994,-24,-4.53888,7115,925
200257,17:15:03.321000,261,0,7.86659,-41,-5.00612,7165,925
200265,17:15:03.331000,-235,0,7.86659,-51,-5.33033,6836,925
200273,17:15:03.341000,410,0,7.86659,-36,-5.2159,7203,925
200281,17:15:03.351000,378,0,7.86659,-53,-4.94891,7176,925
200289,17:15:03.361000,464,0,7.86659,-43,-4.90123,7108,925
200297,17:15:03.371000,222,0,7.86659,-46,-5.61639,7176,925
200305,17:15:03.381000,175,0,7.86659,-39,-5.76896,6837,925
200313,17:15:03.391000,265,0,7.86659,-55,-5.40661,7207,925
200321,17:15:03.401000,304,0,9.83323,-41,-5.33986,7166,925
200329,17:15:03.411000,-59,0,9.83323,-39,-5.78803,7108,925
200337,17:15:03.421000,328,0,9.83323,-39,-6.52226,7189,925
200345,17:15:03.431000,476,0,9.83323,-29,-7.09439,6832,925
200353,17:15:03.441000,906,0,11.79988,-60,-6.61762,7240,925
200361,17:15:03.451000,1246,0,9.83323,-39,-6.55087,7174,925
200369,17:15:03.461000,453,0,9.83323,-36,-7.19928,7115,925
200377,17:15:03.471000,242,0,9.83323,-51,-7.22789,7185,925
200385,17:15:03.481000,410,0,11.79988,-55,-7.09439,6829,925
200393,17:15:03.491000,242,0,11.79988,-53,-6.97043,7251,925
200401,17:15:03.501000,300,0,9.83323,-55,-7.76187,7166,925
200409,17:15:03.511000,-79,0,11.79988,-39,-8.22911,7118,925
200417,17:15:03.521000,441,0,11.79988,-55,-7.97165,7188,925
200425,17:15:03.531000,496,0,13.76653,-39,-8.19097,6840,925
200433,17:15:03.541000,410,0,11.79988,-51,-8.48657,7223,925
200441,17:15:03.551000,265,0,11.79988,-60,-7.98119,7177,925
200449,17:15:03.561000,511,0,13.76653,-41,-8.23865,7126,925
200457,17:15:03.571000,753,0,13.76653,-53,-9.13498,7205,925
200465,17:15:03.581000,621,0,13.76653,-39,-9.23987,6835,925
200473,17:15:03.591000,1191,0,13.76653,-46,-8.96334,7227,925
