index,timestamp,maxon_current,maxon_torque,maxon_velmes,akd_torque,akd_velmes,sinkage,pressure_setting
200001,16:52:18,-149,0,0,-3,-0.12396,7086,925
200009,16:52:18.010000,-67,0,0,-3,-0.10489,7021,925
200017,16:52:18.021000,-28,0,0,-5,-0.22885,7389,925
200025,16:52:18.031000,101,0,1.96665,-5,-0.07628,7046,925
200033,16:52:18.041000,277,0,0,-29,-0.03814,7054,925
200041,16:52:18.051000,-28,0,1.96665,2,0.04768,7097,925
200049,16:52:18.061000,160,0,0,-8,-0.09535,7010,925
200057,16:52:18.071000,203,0,1.96665,-12,-0.20978,7414,925
200065,16:52:18.081000,117,0,1.96665,-5,-0.24792,7057,925
200073,16:52:18.091000,128,0,1.96665,-22,-0.1621,7046,925
200081,16:52:18.101000,136,0,1.96665,-29,-0.47677,7131,925
200089,16:52:18.111000,105,0,1.96665,-24,-0.58166,7023,925
200097,16:52:18.121000,257,0,1.96665,-24,-0.82959,7377,925
200105,16:52:18.131000,203,0,1.96665,-31,-0.99169,7060,925
200113,16:52:18.141000,207,0,1.96665,-29,-1.42079,7072,925
200121,16:52:18.151000,226,0,1.96665,-20,-1.30636,7092,925
200129,16:52:18.161000,347,0,1.96665,-5,-1.68778,7019,925
200137,16:52:18.171000,238,0,3.93329,-31,-2.03106,7388,925
200145,16:52:18.181000,351,0,1.96665,-17,-1.83081,7045,925
200153,16:52:18.191000,109,0,3.93329,-41,-1.95477,7052,925
200161,16:52:18.201000,367,0,3.93329,-48,-2.04059,7109,925
200169,16:52:18.211000,93,0,3.93329,-39,-2.43154,7023,925
200177,16:52:18.221000,312,0,3.93329,-41,-2.56504,7391,925
200185,16:52:18.231000,250,0,3.93329,-36,-2.956,7041,925
200193,16:52:18.241000,445,0,5.89994,-41,-3.30881,7048,925
200201,16:52:18.251000,464,0,3.93329,-22,-3.48998,7093,925
200209,16:52:18.261000,382,0,5.89994,-31,-3.61394,7016,925
200217,16:52:18.271000,261,0,5.89994,-31,-3.55673,7385,925
200225,16:52:18.281000,230,0,5.89994,-36,-3.46138,7051,925
200233,16:52:18.291000,226,0,5.89994,-34,-3.60441,7058,925
200241,16:52:18.301000,593,0,5.89994,-53,-3.93815,7096,925
200249,16:52:18.311000,386,0,5.89994,-53,-4.37678,7026,925
